V_1,I_1,P_1,V_2,I_2,P_2,Irr,T
172.731957,-5.7e-05,-0.009819,183.077117,1.115096,204.148599,100,40
172.731957,-5.7e-05,-0.009826,186.490216,0.994487,185.462085,100,40
172.731958,-5.7e-05,-0.009834,191.945172,0.683828,131.257454,100,40
172.731958,-5.7e-05,-0.009834,191.263822,0.732835,140.164889,100,40
172.731958,-5.7e-05,-0.009833,190.582304,0.778569,148.381449,100,40
172.731958,-5.7e-05,-0.009832,189.90063,0.821222,155.95059,100,40
172.731958,-5.7e-05,-0.009831,189.218807,0.86098,162.9137,100,40
172.731958,-5.7e-05,-0.00983,188.536846,0.898021,169.310107,100,40
172.731958,-5.7e-05,-0.009829,187.854755,0.932514,175.177103,100,40
172.731958,-5.7e-05,-0.009839,198.067996,0.059783,11.841082,100,40
172.731958,-5.7e-05,-0.009838,197.388654,0.148171,29.247357,100,40
172.731958,-5.7e-05,-0.009838,196.70904,0.231231,45.485252,100,40
172.731958,-5.7e-05,-0.009837,196.029167,0.309211,60.614378,100,40
172.731958,-5.7e-05,-0.009837,195.349047,0.382357,74.693005,100,40
172.731958,-5.7e-05,-0.009836,194.668694,0.45091,87.777989,100,40
172.731958,-5.7e-05,-0.009836,193.988118,0.515106,99.924435,100,40
172.731958,-5.7e-05,-0.009835,193.307331,0.575176,111.185806,100,40
172.731958,-5.7e-05,-0.009834,192.626346,0.631345,121.613618,100,40
